lookback,threshold,defensive,n_mom,annual_return,benchmark_annual,excess_return,sharpe,max_drawdown,calmar,bench_max_drawdown,n_weekly,n_regime
60,-0.03,518880.SH,2,0.1631,-0.0285,0.1916,1.05,-0.2085,0.78,-0.4198,161,115
60,-0.03,518880.SH,3,0.1708,-0.0285,0.1993,1.18,-0.2063,0.83,-0.4198,161,115
60,-0.03,511090.SH,2,0.1813,-0.0285,0.2098,1.08,-0.2256,0.8,-0.4198,255,16
60,-0.03,511090.SH,3,0.1851,-0.0285,0.2137,1.22,-0.1712,1.08,-0.4198,255,16
60,-0.05,518880.SH,2,0.1882,-0.0285,0.2168,1.16,-0.2256,0.83,-0.4198,186,90
60,-0.05,518880.SH,3,0.1855,-0.0285,0.214,1.24,-0.2063,0.9,-0.4198,186,90
60,-0.05,511090.SH,2,0.1922,-0.0285,0.2208,1.13,-0.2256,0.85,-0.4198,259,12
60,-0.05,511090.SH,3,0.1923,-0.0285,0.2208,1.26,-0.1712,1.12,-0.4198,259,12
60,-0.08,518880.SH,2,0.1942,-0.0285,0.2227,1.16,-0.2256,0.86,-0.4198,219,57
60,-0.08,518880.SH,3,0.1902,-0.0285,0.2187,1.25,-0.1924,0.99,-0.4198,219,57
60,-0.08,511090.SH,2,0.1962,-0.0285,0.2247,1.15,-0.2256,0.87,-0.4198,265,6
60,-0.08,511090.SH,3,0.1954,-0.0285,0.2239,1.27,-0.1712,1.14,-0.4198,265,6
90,-0.03,518880.SH,2,0.1734,-0.0285,0.2019,1.13,-0.2256,0.77,-0.4198,147,124
90,-0.03,518880.SH,3,0.1799,-0.0285,0.2084,1.28,-0.1712,1.05,-0.4198,147,124
90,-0.03,511090.SH,2,0.1806,-0.0285,0.2091,1.09,-0.2256,0.8,-0.4198,250,21
90,-0.03,511090.SH,3,0.1849,-0.0285,0.2135,1.24,-0.1712,1.08,-0.4198,250,21
90,-0.05,518880.SH,2,0.2032,-0.0285,0.2317,1.28,-0.2256,0.9,-0.4198,176,95
90,-0.05,518880.SH,3,0.2078,-0.0285,0.2363,1.44,-0.1712,1.21,-0.4198,176,95
90,-0.05,511090.SH,2,0.1837,-0.0285,0.2122,1.1,-0.2256,0.81,-0.4198,254,17
90,-0.05,511090.SH,3,0.186,-0.0285,0.2145,1.24,-0.1712,1.09,-0.4198,254,17
90,-0.08,518880.SH,2,0.1952,-0.0285,0.2238,1.2,-0.2256,0.87,-0.4198,211,60
90,-0.08,518880.SH,3,0.2037,-0.0285,0.2323,1.36,-0.1712,1.19,-0.4198,211,60
90,-0.08,511090.SH,2,0.1928,-0.0285,0.2213,1.13,-0.2256,0.85,-0.4198,265,6
90,-0.08,511090.SH,3,0.193,-0.0285,0.2215,1.26,-0.1712,1.13,-0.4198,265,6
120,-0.03,518880.SH,2,0.2238,-0.0285,0.2523,1.41,-0.2254,0.99,-0.4198,140,131
120,-0.03,518880.SH,3,0.2282,-0.0285,0.2567,1.57,-0.1714,1.33,-0.4198,140,131
120,-0.03,511090.SH,2,0.18,-0.0285,0.2085,1.08,-0.2256,0.8,-0.4198,249,22
120,-0.03,511090.SH,3,0.1831,-0.0285,0.2117,1.22,-0.1712,1.07,-0.4198,249,22
120,-0.05,518880.SH,2,0.2237,-0.0285,0.2522,1.4,-0.2256,0.99,-0.4198,164,107
120,-0.05,518880.SH,3,0.2297,-0.0285,0.2583,1.59,-0.1712,1.34,-0.4198,164,107
120,-0.05,511090.SH,2,0.1933,-0.0285,0.2218,1.15,-0.2256,0.86,-0.4198,254,17
120,-0.05,511090.SH,3,0.1969,-0.0285,0.2254,1.3,-0.1712,1.15,-0.4198,254,17
120,-0.08,518880.SH,2,0.2355,-0.0285,0.2641,1.44,-0.2256,1.04,-0.4198,198,73
120,-0.08,518880.SH,3,0.2378,-0.0285,0.2663,1.6,-0.1712,1.39,-0.4198,198,73
120,-0.08,511090.SH,2,0.1926,-0.0285,0.2211,1.13,-0.2256,0.85,-0.4198,261,10
120,-0.08,511090.SH,3,0.1917,-0.0285,0.2203,1.25,-0.1712,1.12,-0.4198,261,10
