path,max_cmd,vol_target,max_cat,annual_return,benchmark_annual,excess_return,sharpe,max_drawdown,calmar,bench_max_drawdown,n_weekly,n_regime,n_switch
1,0.5,0.15,1.0,0.2015,-0.0285,0.23,1.62,-0.1336,1.51,-0.4198,198,73,3
1,0.5,0.18,1.0,0.2027,-0.0285,0.2312,1.56,-0.1589,1.28,-0.4198,198,73,3
1,0.5,0.22,1.0,0.2046,-0.0285,0.2331,1.55,-0.1659,1.23,-0.4198,198,73,3
1,0.5,off,1.0,0.2105,-0.0285,0.2391,1.56,-0.1659,1.27,-0.4198,198,73,3
1,0.6,0.15,1.0,0.2085,-0.0285,0.237,1.67,-0.1333,1.56,-0.4198,198,73,3
1,0.6,0.18,1.0,0.2097,-0.0285,0.2383,1.62,-0.1565,1.34,-0.4198,198,73,3
1,0.6,0.22,1.0,0.2122,-0.0285,0.2408,1.61,-0.1619,1.31,-0.4198,198,73,3
1,0.6,off,1.0,0.2179,-0.0285,0.2465,1.63,-0.1619,1.35,-0.4198,198,73,3
1,0.7,0.15,1.0,0.2152,-0.0285,0.2437,1.71,-0.1327,1.62,-0.4198,198,73,3
1,0.7,0.18,1.0,0.2163,-0.0285,0.2448,1.66,-0.1575,1.37,-0.4198,198,73,3
1,0.7,0.22,1.0,0.2186,-0.0285,0.2471,1.65,-0.1628,1.34,-0.4198,198,73,3
1,0.7,off,1.0,0.2239,-0.0285,0.2525,1.66,-0.1628,1.38,-0.4198,198,73,3
2,1.0,off,0.85,0.2256,-0.0285,0.2541,1.68,-0.1664,1.36,-0.4198,198,73,3
2,1.0,off,0.9,0.2326,-0.0285,0.2611,1.69,-0.168,1.38,-0.4198,198,73,3
2,1.0,off,0.95,0.2396,-0.0285,0.2681,1.69,-0.1696,1.41,-0.4198,198,73,3
