vt,mc,vt_window,annual_return,benchmark_annual,excess_return,sharpe,max_drawdown,calmar,bench_max_drawdown,n_weekly,n_regime,n_switch
0.13,0.7,20,0.2085,-0.0285,0.237,1.74,-0.1153,1.81,-0.4198,198,73,3
0.13,0.7,30,0.2043,-0.0285,0.2328,1.67,-0.1333,1.53,-0.4198,198,73,3
0.13,0.8,20,0.2143,-0.0285,0.2429,1.77,-0.1127,1.9,-0.4198,198,73,3
0.13,0.8,30,0.209,-0.0285,0.2375,1.69,-0.1318,1.59,-0.4198,198,73,3
0.13,0.9,20,0.22,-0.0285,0.2485,1.79,-0.1105,1.99,-0.4198,198,73,3
0.13,0.9,30,0.2154,-0.0285,0.244,1.72,-0.1291,1.67,-0.4198,198,73,3
0.15,0.7,20,0.2152,-0.0285,0.2437,1.71,-0.1327,1.62,-0.4198,198,73,3
0.15,0.7,30,0.2113,-0.0285,0.2398,1.65,-0.1532,1.38,-0.4198,198,73,3
0.15,0.8,20,0.223,-0.0285,0.2516,1.74,-0.1297,1.72,-0.4198,198,73,3
0.15,0.8,30,0.2188,-0.0285,0.2473,1.67,-0.1515,1.44,-0.4198,198,73,3
0.15,0.9,20,0.2297,-0.0285,0.2582,1.77,-0.1272,1.81,-0.4198,198,73,3
0.15,0.9,30,0.2254,-0.0285,0.2539,1.7,-0.1484,1.52,-0.4198,198,73,3
0.17,0.7,20,0.2167,-0.0285,0.2453,1.67,-0.1498,1.45,-0.4198,198,73,3
0.17,0.7,30,0.2127,-0.0285,0.2412,1.63,-0.1628,1.31,-0.4198,198,73,3
0.17,0.8,20,0.2258,-0.0285,0.2544,1.71,-0.1464,1.54,-0.4198,198,73,3
0.17,0.8,30,0.2198,-0.0285,0.2483,1.65,-0.1648,1.33,-0.4198,198,73,3
0.17,0.9,20,0.2329,-0.0285,0.2614,1.73,-0.1437,1.62,-0.4198,198,73,3
0.17,0.9,30,0.2268,-0.0285,0.2553,1.67,-0.1627,1.39,-0.4198,198,73,3
