date,hot_out,new_target
2021-01-13,159985.SZ,"518880.SH:0.37,159934.SZ:0.36,513500.SH:0.27"
2022-02-24,159985.SZ,"159980.SZ:0.29,159934.SZ:0.49,159867.SZ:0.22"
2022-03-09,159985.SZ,"159934.SZ:0.39,518880.SH:0.38,159980.SZ:0.23"
2023-06-19,513100.SH,"513500.SH:0.26,159985.SZ:0.28,518880.SH:0.46"
2024-04-11,"159934.SZ,518880.SH","513500.SH:0.59,513100.SH:0.41"
2025-04-22,"159934.SZ,518880.SH","511090.SH:0.66,159985.SZ:0.34"
2025-09-25,159934.SZ,"518880.SH:0.42,513100.SH:0.28,513500.SH:0.31"
2025-10-09,159934.SZ,"518880.SH:0.42,513100.SH:0.28,513500.SH:0.31"
2026-01-28,"159934.SZ,518880.SH",159985.SZ:1.00
2026-03-03,515220.SH,"159985.SZ:0.70,518880.SH:0.30"
